,date,tweet,tweet_length,id,likes,retweets,sentiment,subjectivity
1414,8/30/2020,Rest In Peace Jay! ,42,1.30019E+18,200487,58311,0,0
1420,8/30/2020,LAW &amp; ORDER!!!,18,1.30004E+18,327643,58602,0,0
1404,8/31/2020,LAW &amp; ORDER!,16,1.30043E+18,274357,48526,0,0
1407,8/31/2020,"Portland is a mess, and it has been for many years. If this joke of a mayor doesn’t clean it up, we will go in and do it for them!",130,1.30042E+18,176947,32729,0.261111111,0.458333333
1408,8/31/2020,"If I didn’t INSIST on having the National Guard activate and go into Kenosha, Wisconsin, there would be no Kenosha… ",139,1.30042E+18,143388,30384,0,0
1410,8/31/2020,"When is Slow Joe Biden going to criticize the Anarchists, Thugs &amp; Agitators in ANTIFA? When is he going to suggest… ",143,1.30026E+18,140496,32664,-0.3,0.4
1380,9/1/2020,"Kenosha, Wisconsin, we’re with you all the way! ",71,1.30093E+18,142754,38502,0,0
1386,9/1/2020,"I was saddened to learn of the passing of India's former President, Pranab Mukherjee. I send my condolences to his… ",139,1.30084E+18,184270,26536,0,0
1388,9/1/2020,"Had a very productive conversation with Kevin Warren, Commissioner of the Big Ten Conference, about immediately sta… ",140,1.30082E+18,130452,23698,0.066666667,0.133333333
1389,9/1/2020,"Heading to Kenosha, Wisconsin, to thank Law Enforcement and the National Guard for a job well done. The Violence st… ",140,1.30081E+18,129360,24677,0,0
1390,9/1/2020,"It never ends! Now they are trying to say that your favorite President, me, went to Walter Reed Medical Center, hav… ",140,1.30081E+18,177347,42389,0.133333333,0.366666667
1392,9/1/2020,"People are tired of watching the highly political @NBA. Basketball ratings are WAY down, and they won’t be coming b… ",140,1.30078E+18,209176,42617,-0.185185185,0.362962963
1394,9/1/2020,Kimberly Klacik is really working hard to help the people of Baltimore. She is running for Congress as a Republican… ,140,1.30064E+18,123883,29646,-0.045833333,0.370833333
1358,9/2/2020,"The Dow Jones Industrial just closed above 29,000! You are so lucky to have me as your President😉With Joe Hiden’ it would crash😧",128,1.30125E+18,295829,53086,0.077777778,0.344444444
1361,9/2/2020,Will be landing shortly in the Great State of North Carolina. See you soon!,75,1.30121E+18,127220,16522,0.5,0.525
1362,9/2/2020,"When a Kennedy loses a Democrat Primary in Massachusetts, by a lot, it just shows how far LEFT that party has gone.… ",140,1.3012E+18,132780,32295,0.05,0.4
1365,9/2/2020,"We had FAR more people (many millions) watching us at the RNC than did Sleepy Joe and the DNC, and yet an ad just r… ",140,1.30116E+18,125354,27510,0.366666667,0.666666667
1368,9/2/2020,"Crazy Nancy Pelosi is being decimated for having a beauty parlor opened, when all others are closed, and for not we… ",140,1.30115E+18,230246,53797,-0.35,0.5
1343,9/3/2020,Nancy Pelosi says she got “set up” by a Beauty Parlor owner. Maybe the Beauty Parlor owner should be running the Ho… ,140,1.30159E+18,267968,53516,0,0
1354,9/3/2020,My Administration will do everything in its power to prevent weak mayors and lawless cities from taking Federal dol… ,140,1.30132E+18,183480,45732,-0.375,0.625
1324,9/4/2020,Another great day for peace with Middle East – Muslim-majority Kosovo and Israel have agreed to normalize ties and… ,139,1.30192E+18,170332,37966,0.4,0.375
1304,9/5/2020,"You work so hard for the military, from completely rebuilding a depleted mess that was left by OBiden, to fixing a… ",139,1.30222E+18,130070,30699,-0.093333333,0.243333333
1280,9/6/2020,Our Economy and Jobs are doing really well. Next Year will be a Record Setter. Stay Tuned!,90,1.3027E+18,187335,32783,0.1,0.1
1282,9/6/2020,These are the Democrats “peaceful protests”. Sick! ,74,1.30268E+18,134183,36804,-0.321428571,0.678571429
1283,9/6/2020,"Big Ten Football is looking really good, but may lose Michigan, Illinois, and Maryland because of those Governors’… ",139,1.30263E+18,121880,21523,0.233333333,0.233333333
1296,9/6/2020,"Wish I could join you, but totally focused on November 3rd. Thank you! #MAGA ",100,1.30245E+18,164161,30752,0,0.375
1297,9/6/2020,Congratulations to the U.S. Marshals on a job well done in Portland. LAW &amp; ORDER!,85,1.30245E+18,219313,38610,0,0
1268,9/7/2020,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?",140,1.30297E+18,129184,31841,-0.358333333,0.430555556
1269,9/7/2020,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",55,1.30297E+18,284454,48870,0,0
1217,9/8/2020,"Police Chief, and most of the police in Rochester, N.Y., have resigned. The Democrat Mayor and, of courses, Governo… ",140,1.30346E+18,163282,43408,0.5,0.5
1219,9/8/2020,Heading to North Carolina. See you soon!,40,1.30344E+18,144767,16840,0,0
1222,9/8/2020,"Thank you Jupiter, Florida! ",51,1.30343E+18,132898,29532,0,0
