,date,tweet,tweet_length,id,likes,retweets,sentiment,subjectivity
1043,8/30/2020,The deadly violence we saw overnight in Portland is unacceptable. Shooting in the streets of a great American city… ,139,1.30016E+18,120694,29903,0.2,0.383333333
1027,8/31/2020,"More cops have died from COVID this year than have been killed on patrol.

Nearly one in six small businesses in th… ",140,1.3005E+18,172628,39911,0.0375,0.325
1029,8/31/2020,"Donald Trump keeps telling us if he was president, you'd feel safe.

Well, he is president — whether he knows it or not.",120,1.3005E+18,334786,64301,0.5,0.5
1030,8/31/2020,"Trump and Pence are running on this: “You won’t be safe in Joe Biden’s America.”

And what’s their proof?

The viol… ",140,1.30049E+18,158700,34554,0.5,0.5
1031,8/31/2020,"The simple truth is Donald Trump failed to protect America. So now, he’s trying to scare America.",97,1.30049E+18,293715,53591,-0.25,0.328571429
1033,8/31/2020,"Donald Trump may believe mouthing the words law and order makes him strong, but his failure to call on his own supp… ",140,1.30049E+18,121721,25375,0.238888889,0.677777778
1035,8/31/2020,Does anyone believe there will be less violence in America if Donald Trump is reelected?,88,1.30047E+18,195196,27182,-0.166666667,0.066666667
1020,9/1/2020,"Tonight, President Trump declined to rebuke violence.

He wouldn’t even repudiate one of his supporters who is char… ",140,1.3006E+18,133400,27890,0,0
1000,9/3/2020,"I’ve released 21 years of my tax returns. 

What are you hiding, @realDonaldTrump? ",106,1.30132E+18,263286,54688,0,0
989,9/4/2020,"Mr. President, if you don’t respect our troops, you can’t lead them. ",92,1.30191E+18,261764,90980,0,0
990,9/4/2020,"Here’s my promise to you: If I have the honor of serving as the next commander in chief, I will ensure that our Ame… ",140,1.3017E+18,158292,34605,0,0
980,9/5/2020,"As president, I will:

- Call for nationwide mask mandates
- Implement widespread testing
- Accelerate the developm… ",140,1.30237E+18,164894,24840,0,0
982,9/5/2020,"Mr. President, enough with the weekend golf trips and erratic tweets. It's time for you to get to work and control… ",139,1.30233E+18,197563,38630,0,0.5
977,9/6/2020,It’s time we reward work — not just wealth.,43,1.30265E+18,182193,24461,0,0
966,9/7/2020,"Wall Street didn't build this country — the middle class did. And unions built the middle class.

Donald Trump does… ",140,1.30308E+18,101402,19587,0,0
967,9/7/2020,"It's not enough to just thank our essential workers — we need to pay them. As president, I’ll:

- Raise the minimum… ",140,1.30306E+18,154414,26828,0,0.4
970,9/7/2020,"The 40-hour workweek
Minimum wage
Overtime pay
Health care 
Workplace safety protections

They’re all because of un… ",140,1.303E+18,131627,23819,0,0
972,9/7/2020,We need to restore honor and decency to the White House.,56,1.30277E+18,296229,39940,0,0
943,9/9/2020,You deserve a president who tells you the truth.,48,1.30384E+18,388586,51968,0,0
946,9/9/2020,"I promise you that if I’m elected, I’ll always tell you the truth.

I’ll listen to the experts and do everything I… ",139,1.30379E+18,140164,24756,0,0
947,9/9/2020,"Donald Trump knew.

He lied to us for months.

And while a deadly disease ripped through our nation, he failed to d… ",140,1.30376E+18,131795,37762,-0.35,0.35
956,9/9/2020,Donald Trump is incapable of providing the leadership this moment requires.,75,1.30349E+18,206557,28680,0,0
935,9/10/2020,Do your part. Wear a mask. ,50,1.30416E+18,133305,24510,0,0
940,9/10/2020,Donald Trump said he didn't want to tell the truth and create a panic. So he did nothing and created a disaster.,112,1.30409E+18,337524,75521,0,0
926,9/11/2020,Always remember. ,40,1.30456E+18,112193,15552,0,0
932,9/11/2020,Donald Trump said he wanted to be a cheerleader for the country. We didn't need a cheerleader. We needed a president.,117,1.30422E+18,226925,32601,0,0
925,9/12/2020,You deserve a President and Vice President who will spend every minute of every day working to make your life bette… ,140,1.3048E+18,170943,27629,0,0
917,9/13/2020,"26 years ago today, the Senate passed 10-year bans on assault weapons and high-capacity magazines—it was an effort… ",139,1.30523E+18,107483,19393,0,0
903,9/14/2020,".@realDonaldTrump, you know what’s actually threatening our suburbs?

Wildfires. Floods. Hurricanes.

We need to act on climate. Now.",133,1.30565E+18,209278,35888,0,0.1
904,9/14/2020,Science knows. ,38,1.30561E+18,116129,24759,0,0
909,9/14/2020,50 days.,8,1.30551E+18,233946,29811,0,0
910,9/14/2020,"Weapons of war have no place in our communities.

We need to ban assault weapons and high-capacity magazines.",109,1.3053E+18,203867,29367,0,0
900,9/15/2020,"This morning, parents all across the West — already worried about their kids being indoors because of COVID-19 — ar… ",140,1.30588E+18,104314,18807,0,0
885,9/16/2020,"We’ve lost nearly 200,000 Americans to COVID-19. 

It didn’t have to be this bad — but Donald Trump failed to do his job.",121,1.30628E+18,141323,26319,-0.366666667,0.455555556
887,9/16/2020,Science will win. ,41,1.30625E+18,116807,18434,0.8,0.4
889,9/16/2020,"To be clear: I am not currently president. But if you chip in now, we can change that in November:… ",123,1.30606E+18,232892,53168,0.05,0.391666667
874,9/17/2020,"If you make under $400,000, you will not pay a penny more in taxes when I'm president.

The super-wealthy and big c… ",140,1.30664E+18,215432,41868,0.25,0.3
875,9/17/2020,".@realDonaldTrump, the job is to be president of all Americans. For the love of God start acting like it. ",129,1.30662E+18,151759,27230,0.25,0.3
880,9/17/2020,We’re going to get this virus under control and get your life back on track.,76,1.30638E+18,229279,28221,0,0
